Date,Close,High,Low,Open,Volume,Adj Close,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Year,Month,Day_of_Week,Quarter
31-10-2016,121.94,122.0,121.23,121.51,7722100,121.94,29.610183,120.51,124.06,NA,90.3766349,2016,10,0,4
01-11-2016,122.73,123.21,122.57,122.8,13384300,122.73,64.7860341,120.59,123.96,NA,46.6497777,2016,11,1,4
02-11-2016,123.64,124.76,123.56,123.76,15692400,123.64,74.1461752,120.74,123.88,NA,48.600520800000005,2016,11,2,4
03-11-2016,124.3,124.33,123.35,123.36,10093100,124.3,53.3810794,120.97,123.84,NA,42.678184,2016,11,3,4
04-11-2016,124.39,124.54,124.04,124.4,8594600,124.39,7.2402523,121.2,123.8,NA,42.6698464,2016,11,4,4
07-11-2016,122.15,122.71,121.88,122.66,10015000,122.15,-180.07861359999998,121.3,123.72,NA,61.438537000000004,2016,11,0,4
08-11-2016,121.64,123.09,121.36,122.12,9480600,121.64,-41.752118700000004,121.41,123.63,NA,61.0133037,2016,11,1,4
09-11-2016,121.56,124.35,121.11,124.3,18236500,121.56,-6.576934500000001,121.5,123.56,NA,61.083574799999994,2016,11,2,4
10-11-2016,119.75,121.54,119.38,121.52,22268000,119.75,-148.8974659,121.48,123.46,121.96,70.20737679999999,2016,11,3,4
11-11-2016,117.1,119.69,116.23,119.65,20381800,117.1,-221.29449069999998,121.37,123.3,122.01,85.1717384,2016,11,4,4
14-11-2016,116.11,117.14,115.49,116.12,20729400,116.11,-84.54294420000001,121.19,123.09,122.05,86.3252217,2016,11,0,4
15-11-2016,117.12,117.24,116.29,116.46,9348600,117.12,86.9866619,121.03,122.86,122.09,87.6728445,2016,11,1,4
16-11-2016,116.77,117.27,116.58,117.27,5486100,116.77,-29.884400199999998,120.81,122.63,122.13,86.1201922,2016,11,2,4
17-11-2016,116.17,117.22,115.44,116.91,10342300,116.17,-51.3829315,120.58,122.4,122.16,86.4070728,2016,11,3,4
18-11-2016,115.15,115.77,114.96,115.52,10444300,115.15,-87.802071,120.3,122.17,122.17,87.4954254,2016,11,4,4
21-11-2016,115.58,115.94,115.29,115.72,6654200,115.58,37.342622600000006,120.05,121.95,122.18,88.5548668,2016,11,0,4
22-11-2016,115.54,115.79,114.98,115.72,6391900,115.54,-3.4608855000000003,119.75,121.74,122.19,85.75756369999999,2016,11,1,4
23-11-2016,113.25,113.88,112.65,113.87,20982100,113.25,-198.19983530000002,119.37,121.48,122.19,93.993747,2016,11,2,4
25-11-2016,112.61,113.51,112.35,113.42,5345900,112.61,-56.5120874,118.95,121.23,122.15,93.3862403,2016,11,4,4
28-11-2016,113.8,113.84,112.77,113.23,5655400,113.8,105.6746679,118.57,121.0,122.13,96.9625495,2016,11,0,4
